date,steps,distance,runDistance,calories
2021-07-08,3708,2509,0,121
2021-07-09,3629,2455,0,130
2021-07-10,5164,3506,0,139
2021-07-11,6563,5054,0,246
2021-07-12,6050,4094,0,215
2021-07-13,490,332,0,36
2021-07-14,1019,689,0,52
2021-07-15,6695,4574,0,217
2021-07-16,5885,4130,0,146
2021-07-17,3833,2631,0,111
2021-07-18,4429,3032,0,97
2021-07-19,8128,5500,0,229
2021-07-21,105,71,0,3
2021-07-22,5471,3835,0,109
2021-07-23,10759,7612,0,223
2021-07-24,5548,3799,0,99
2021-07-25,3838,2697,0,84
2021-07-26,6936,5241,0,183
2021-07-27,2536,1785,0,54
2021-07-28,10177,7012,0,192
2021-07-29,7998,5498,0,155
2021-07-30,12451,8527,0,213
2021-07-31,1884,1298,0,39
2021-08-01,1519,1029,0,29
2021-08-02,640,465,0,18
2021-08-03,3038,2076,0,58
2021-08-04,641,441,0,15
2021-08-05,958,648,0,19
2021-08-06,927,640,0,18
2021-08-07,5095,3710,0,118
2021-08-08,2356,1595,0,45
2021-08-09,12457,8585,0,241
2021-08-10,15394,10699,0,309
2021-08-11,15091,10465,0,319
2021-08-12,11292,7881,0,235
2021-08-13,8410,5834,0,182
2021-08-14,3831,2753,0,95
2021-08-15,550,372,0,13
2021-08-16,2725,1912,0,63
2021-08-17,8502,5972,0,170
2021-08-18,9944,7058,0,213
2021-08-19,12605,8696,0,242
2021-08-20,19618,14652,0,485
2021-08-21,3742,2669,0,85
2021-08-29,1980,1347,0,31
2021-08-30,906,648,0,22
2021-08-31,1254,848,0,23
2021-09-01,2499,1726,0,49
2021-09-02,12883,9038,0,262
2021-09-03,4805,3314,0,91
2021-09-04,472,319,0,14
2021-09-05,1692,1196,0,38
2021-09-06,14687,10093,0,277
2021-09-07,15475,10850,0,313
2021-09-08,166,112,0,5
2021-09-09,10448,7521,0,226
2021-09-10,7845,5379,0,153
2021-09-11,8164,5723,0,172
2021-09-12,4865,3382,0,103
2021-09-13,3117,2129,0,58
2021-09-14,11789,8296,0,250
2021-09-15,9006,6256,0,183
2021-09-16,6723,4643,0,136
2021-09-17,9900,6943,0,213
2021-09-18,1971,1371,0,43
2021-09-19,5705,3901,0,114
2021-09-20,6030,4203,0,126
2021-09-21,2567,1804,0,57
2021-09-22,8686,6176,0,187
2021-09-23,9367,6640,0,195
2021-09-24,242,164,0,6
2021-09-25,5171,3687,0,116
2021-09-26,1366,999,0,38
2021-09-27,10772,7373,0,213
2021-09-28,12819,8903,0,280
2021-09-29,13657,9361,0,279
2021-09-30,10159,7033,0,206
2021-10-01,4791,3451,0,112
2021-10-02,4283,2961,0,91
2021-10-03,3427,2484,0,81
2021-10-04,5325,3681,0,112
2021-10-05,7231,5047,0,161
2021-10-06,6765,4656,0,142
2021-10-07,6859,4725,0,148
2021-10-08,3345,2688,0,125
2021-10-09,3710,2675,0,90
2021-10-10,739,500,0,18
2021-10-11,6180,4354,0,143
2021-10-12,464,314,0,10
2021-10-13,3305,2408,0,77
2021-10-14,12139,8366,0,254
2021-10-15,7839,5471,0,175
2021-10-16,2690,2128,0,67
2021-10-17,8736,5962,0,177
2021-10-18,14142,9813,0,308
2021-10-19,12913,8822,0,244
2021-10-20,38,26,0,1
2021-10-21,8090,5616,0,171
2021-10-22,10047,6903,0,196
2021-10-23,10810,7661,0,267
2021-10-24,4224,3133,0,107
2021-10-25,10232,7084,0,203
2021-10-26,7784,5301,0,153
2021-10-27,9111,6201,0,179
2021-10-28,8521,5832,0,160
2021-10-29,8239,5679,0,179
2021-10-30,9876,6748,0,202
2021-10-31,5041,3687,0,129
2021-11-01,904,612,0,17
2021-11-02,10245,7050,0,214
2021-11-03,11592,8099,0,244
2021-11-04,8809,6125,0,165
2021-11-05,8885,6268,0,193
2021-11-06,4140,2844,0,90
2021-11-07,7545,5185,0,149
2021-11-08,8391,5869,0,182
2021-11-09,4876,3349,0,95
2021-11-10,9655,6690,0,199
2021-11-11,12648,9151,0,271
2021-11-12,12426,8498,0,231
2021-11-13,459,311,0,13
2021-11-14,501,339,0,12
2021-11-15,11873,8264,0,237
2021-11-16,9695,6664,0,188
2021-11-17,10500,7250,0,206
2021-11-18,13588,9304,0,270
2021-11-19,6559,4513,0,128
2021-11-20,2268,1643,0,48
2021-11-21,2045,1399,0,46
2021-11-22,9024,6162,0,173
2021-11-23,14268,10123,0,306
2021-11-24,12683,8833,0,260
2021-11-25,9909,6781,0,182
2021-11-26,6483,4433,488,139
2021-11-27,3088,2126,298,71
2021-11-28,1506,1019,148,36
2021-11-29,2541,1871,158,65
2021-11-30,12592,8653,1297,280
2021-12-01,9751,6681,777,211
2021-12-02,14261,9718,925,304
2021-12-03,13525,9295,950,291
2021-12-04,5469,3840,659,127
2021-12-05,3538,2426,397,91
2021-12-06,2357,1630,164,51
2021-12-07,12612,8734,830,276
2021-12-08,4290,2911,347,102
2021-12-09,3496,2575,230,265
2021-12-10,10560,7301,943,662
2021-12-11,2515,1720,344,437
2021-12-12,2673,1809,316,318
2021-12-13,14811,10358,1028,334
2021-12-14,14722,10362,1375,332
2021-12-15,13556,9468,936,377
2021-12-16,17124,11744,827,663
2021-12-17,13927,9719,564,315
2021-12-18,2516,1737,258,61
2021-12-19,1893,1344,195,51
2021-12-20,3076,2251,260,78
2021-12-21,4506,3106,474,124
2021-12-22,4304,3059,414,117
2021-12-23,6402,4409,616,455
2021-12-24,2071,1402,178,54
2021-12-25,4813,3305,485,125
2021-12-26,4374,3117,514,114
2021-12-27,1339,928,165,35
2021-12-28,3765,2721,377,406
2021-12-29,5231,3665,499,127
2021-12-30,2499,1700,248,60
2021-12-31,4628,3268,334,116
2022-01-01,4746,3411,991,128
2022-01-02,1917,1303,210,47
2022-01-03,12628,8629,900,272
2022-01-04,10577,7260,721,227
2022-01-05,1279,865,123,30
2022-01-06,11907,8181,746,257
2022-01-07,16521,11349,1039,616
2022-01-08,3471,2445,278,498
2022-01-09,3693,2515,259,515
2022-01-10,14918,10257,807,336
2022-01-11,16781,11749,774,373
2022-01-12,12713,8751,908,278
2022-01-13,8936,6190,556,200
2022-01-14,13013,8921,721,270
2022-01-15,5369,3729,254,368
2022-01-16,2965,2052,282,436
2022-01-17,12877,8808,948,286
2022-01-18,10243,7021,744,224
2022-01-19,11012,7512,422,239
2022-01-20,4727,3388,265,115
2022-01-21,15085,10308,992,646
2022-01-22,3508,2399,328,438
2022-01-23,2408,1629,297,255
2022-01-24,11995,8260,535,267
2022-01-25,12657,8677,756,276
2022-01-26,10581,7247,828,463
2022-01-27,17726,12187,754,580
2022-01-28,4462,3204,337,108
2022-01-29,1704,1164,196,44
2022-01-30,4015,2780,321,103
2022-01-31,3143,2190,329,438
2022-02-01,11494,7871,707,247
2022-02-02,13102,8996,766,282
2022-02-03,10891,7447,767,240
2022-02-04,14513,9962,792,575
2022-02-05,4610,3125,501,486
2022-02-06,2994,2098,402,427
2022-02-07,8932,6146,789,197
2022-02-08,1357,921,161,35
2022-02-09,2858,1948,270,492
2022-02-10,3621,2666,271,480
