date,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2021-07-08,0,0,0,2021-07-06 22:00:00+0000,2021-07-06 22:00:00+0000
2021-07-09,0,0,0,2021-07-07 22:00:00+0000,2021-07-07 22:00:00+0000
2021-07-10,0,0,0,2021-07-08 22:00:00+0000,2021-07-08 22:00:00+0000
2021-07-11,0,0,0,2021-07-09 22:00:00+0000,2021-07-09 22:00:00+0000
2021-07-12,0,0,0,2021-07-10 22:00:00+0000,2021-07-10 22:00:00+0000
2021-07-13,0,0,0,2021-07-11 22:00:00+0000,2021-07-11 22:00:00+0000
2021-07-14,0,0,0,2021-07-12 22:00:00+0000,2021-07-12 22:00:00+0000
2021-07-15,0,0,0,2021-07-13 22:00:00+0000,2021-07-13 22:00:00+0000
2021-07-16,0,0,0,2021-07-14 22:00:00+0000,2021-07-14 22:00:00+0000
2021-07-17,0,0,0,2021-07-15 22:00:00+0000,2021-07-15 22:00:00+0000
2021-07-18,0,0,0,2021-07-16 22:00:00+0000,2021-07-16 22:00:00+0000
2021-07-19,0,0,0,2021-07-17 22:00:00+0000,2021-07-17 22:00:00+0000
2021-07-21,0,0,0,2021-07-19 22:00:00+0000,2021-07-19 22:00:00+0000
2021-07-22,0,0,0,2021-07-20 22:00:00+0000,2021-07-20 22:00:00+0000
2021-07-23,0,0,0,2021-07-21 22:00:00+0000,2021-07-21 22:00:00+0000
2021-07-24,0,0,0,2021-07-22 22:00:00+0000,2021-07-22 22:00:00+0000
2021-07-25,0,0,0,2021-07-23 22:00:00+0000,2021-07-23 22:00:00+0000
2021-07-26,0,0,0,2021-07-24 22:00:00+0000,2021-07-24 22:00:00+0000
2021-07-27,0,0,0,2021-07-25 22:00:00+0000,2021-07-25 22:00:00+0000
2021-07-28,0,0,0,2021-07-26 22:00:00+0000,2021-07-26 22:00:00+0000
2021-07-29,0,0,0,2021-07-27 22:00:00+0000,2021-07-27 22:00:00+0000
2021-07-30,0,0,0,2021-07-28 22:00:00+0000,2021-07-28 22:00:00+0000
2021-07-31,0,0,0,2021-07-29 22:00:00+0000,2021-07-29 22:00:00+0000
2021-08-01,0,0,0,2021-07-30 22:00:00+0000,2021-07-30 22:00:00+0000
2021-08-02,0,0,0,2021-07-31 22:00:00+0000,2021-07-31 22:00:00+0000
2021-08-03,0,0,0,2021-08-01 22:00:00+0000,2021-08-01 22:00:00+0000
2021-08-04,0,0,0,2021-08-02 22:00:00+0000,2021-08-02 22:00:00+0000
2021-08-05,0,0,0,2021-08-03 22:00:00+0000,2021-08-03 22:00:00+0000
2021-08-06,0,0,0,2021-08-04 22:00:00+0000,2021-08-04 22:00:00+0000
2021-08-07,0,0,0,2021-08-05 22:00:00+0000,2021-08-05 22:00:00+0000
2021-08-08,0,0,0,2021-08-06 22:00:00+0000,2021-08-06 22:00:00+0000
2021-08-09,0,0,0,2021-08-07 22:00:00+0000,2021-08-07 22:00:00+0000
2021-08-10,0,0,0,2021-08-08 22:00:00+0000,2021-08-08 22:00:00+0000
2021-08-11,0,0,0,2021-08-09 22:00:00+0000,2021-08-09 22:00:00+0000
2021-08-12,0,0,0,2021-08-10 22:00:00+0000,2021-08-10 22:00:00+0000
2021-08-13,0,0,0,2021-08-11 22:00:00+0000,2021-08-11 22:00:00+0000
